transaction_id,wallet_id,tx_hash,direction,asset_symbol,amount,usd_value_at_tx,fee_native,status,submitted_at,confirmed_at,updated_at
1,1,0x7152b7e4be314f009093f126c1c4aac01b952425ee0d416fb92870a6,swap,MATIC,0.46102056,0.28,0.00041983,confirmed,2026-03-07T14:07:31+00:00,2026-03-07T14:12:09+00:00,2026-03-07T14:12:09+00:00
2,2,0x66eb4db43d594086a88c276c05374504a47d63cd69674fca8cdee1e7,send,ETH,0.90102099,2883.27,0.00515813,failed,2026-03-26T16:29:48+00:00,,2026-03-26T16:29:48+00:00
3,2,0xb1019d3d4eeb47e095ccd3faba7f8f9636beeb77df404896ab6431e7,swap,USDC,0.03504853,0.04,0.00319527,confirmed,2026-06-06T14:18:01+00:00,2026-06-06T14:24:36+00:00,2026-06-06T14:24:36+00:00
4,2,0xe821e84b001c4b4b91dab44c6cb317ea480dd893122c4c40a3f22423,receive,ETH,0.8942078,2861.46,0.00831684,confirmed,2026-03-07T18:47:12+00:00,2026-03-07T18:51:34+00:00,2026-03-07T18:51:34+00:00
5,2,0x5f640bfcf9b34d60bb3c798e8bd325863690ddc81ebf4325967f72ad,swap,ETH,0.05735418,183.53,0.00083724,failed,2026-07-07T16:54:34+00:00,,2026-07-07T16:54:34+00:00
6,2,0x362436768a3a49249382298d9a1da9c2140fcba015404d03aae000c0,swap,ETH,0.06474736,207.19,0.00271597,failed,2026-04-23T09:12:06+00:00,,2026-04-23T09:12:06+00:00
7,2,0x642d2058dbe7411e866ff2dc993ea0671c10177fd2b442e5b19429e5,swap,USDC,5.19743673,5.2,0.00619453,failed,2026-04-18T09:16:46+00:00,,2026-04-18T09:16:46+00:00
8,2,,swap,USDC,1.02607855,1.03,0.00077495,pending,2026-06-11T20:16:48+00:00,,2026-06-11T20:16:48+00:00
9,2,0xe5b571d620b24e43bdc2b10a29dcb7e751bf00e09b51419ca29aeed4,send,USDC,0.02242213,0.02,0.00666701,confirmed,2026-08-30T01:33:47+00:00,2026-08-30T01:40:57+00:00,2026-08-30T01:40:57+00:00
10,2,0xed937848604c404489253862fe4e88c8178eb0cdedb048c6b9855bed,swap,ETH,0.11117425,355.76,0.00018716,confirmed,2026-06-23T11:04:39+00:00,2026-06-23T11:09:44+00:00,2026-06-23T11:09:44+00:00
11,2,,swap,ETH,4.91692734,15734.17,0.00251389,pending,2026-06-29T06:20:08+00:00,,2026-06-29T06:20:08+00:00
12,2,0xad0cd1ebecfa4314894f19a5740f08e03194e87c83314e719c05cdea,receive,ETH,0.05774781,184.79,0.00034459,confirmed,2026-03-02T08:59:48+00:00,2026-03-02T09:06:23+00:00,2026-03-02T09:06:23+00:00
13,2,0x420ee30775284018b6368a50a2b46bfa0e9f53ab1aea4bb197df1746,swap,USDC,0.12690088,0.13,0.00200587,failed,2026-07-10T12:10:34+00:00,,2026-07-10T12:10:34+00:00
14,2,0x1a9f767ed18946409aef412b1a982ce1047377f3f7794a53b94f8541,swap,ETH,0.23499994,752.0,0.00775846,confirmed,2026-03-18T20:49:44+00:00,2026-03-18T20:52:40+00:00,2026-03-18T20:52:40+00:00
15,2,0x726f64f74c174c6ca7448560560f95c261c04b41680847679ea2787a,receive,USDC,0.36824945,0.37,0.007197,confirmed,2026-07-29T15:13:57+00:00,2026-07-29T15:17:32+00:00,2026-07-29T15:17:32+00:00
